comment_id,type,parent_id,author,text,likes,published_at
UgySeTVPWo4gK9EqxFh4AaABAg,top_level,,@Qureshiup11vale,1 mandir todkar dekho gaa** fat k haath me aajayegi,0,1694131200
Ugyrnf1DQcfktpM1vBF4AaABAg,top_level,,@oldsongziyakhan,Poore desh me imaandari se atikirman hataya jaye to 5℅ mandir hi bachenge. Sab ke sab awaidh hi milenge. 😂😂😂😂😂,0,1694131200
UgzPHzcRWxkgzNO64MV4AaABAg,top_level,,@rooprekha1577,Safai dena band karen.  Aur ajar mjar sab saf kar den.,0,1694131200
UgxibkqTDgNrNRwZOHJ4AaABAg,top_level,,@shivkumarthakur3045,Super hindu modi ji,0,1694131200
UgyKWNbKGV_F8C4kTLp4AaABAg,top_level,,@djkishannirmalkar2717,sir todne ke liye lebiour lagenge to hame bulao bina paese kaam karne ko tayar hu sir mai,0,1694131200
Ugwn025ozc_WSIvVSb94AaABAg,top_level,,@hindihindu567,जय श्री राम ❣️🚩🙏,0,1694131200
UgzKlZ6NxCku4tbuzqR4AaABAg,top_level,,@light-alone,Bilkul sahi kiya .jo dharm ko manta hai wo apna jameen de ya khareede .sari atikaraman hatae mandir masjid sab.......,0,1694131200
UgwiIf6U3OzXFi-_bqB4AaABAg,top_level,,@ghulamnoormohammadkhan7210,Awaid to bahut kuchh jayeda ghamand mein mat rahna tut jayeda,0,1694131200
UgwfuCDmFeEN26Fi_bN4AaABAg,top_level,,@tahirrizvi5473,"#RahulGandhi ji is such a #Heroic Personality , And #Humble , #Fearless Leader , Next Pm only #RAGA ❤️❤️🇮🇳🙏",4,1694131200
UgwfuCDmFeEN26Fi_bN4AaABAg.9tybLIqoi1j9u-6fUCeM3P,reply,UgwfuCDmFeEN26Fi_bN4AaABAg,@pravinmane4203,Wo 72 huro me wyast hai.,1,1694131200
UgwfuCDmFeEN26Fi_bN4AaABAg.9tybLIqoi1j9u0xTkG11uC,reply,UgwfuCDmFeEN26Fi_bN4AaABAg,@Innocent.khushi-,Rahul gandhi or pm wo bhi bharat ka 🤮🤮itne bure din nhi aae hai bharat ke,1,1694131200
UgwKtvOgV3PH4Sj5QRt4AaABAg,top_level,,@pankajantil1996,Mei toh ye sochta hu jhan bhi mazar h unko todne ki jghe aap school banao,0,1694131200
UgyiN_IshyPjr0xQqfl4AaABAg,top_level,,@bubaijhama6105,Yes sir 🙏🏻🙏🏻🙏🏻🙏🏻😊🕉️🕉️🕉️🥰😍🥰😍🪔🪔🪔🙏🏻🙏🏻🙏🏻🪔🪔🚩🚩 Bharat mata ki Jay 🚩🚩🚩🚩🕉️🪔🙏🏻🙏🏻🙏🏻🇮🇳🇮🇳🇮🇳💪💪💪😎😎😎,0,1694131200
Ugwry_VCPGQWpb7mK-p4AaABAg,top_level,,@radhemohan900,Ye sabhi model yogi ji k hai wo agle pradhaanmantri banenge,0,1694131200
Ugz0bFhJ0IMWXNvFFUd4AaABAg,top_level,,@rajarizwan1163,"Fake add bnae hai ..
Logo k mind diverd krne k ....",0,1694131200
UgzMKSwHcQtbu7vPsph4AaABAg,top_level,,@WajidKhan-fm5bc,Aisa cm agra me bhi hona chahiye 5 saal pehle khali jagha par kisi ne choti si murti rakh di thi aaj woh prachin mandir ban gya,0,1694131200
Ugwp8ktXPa9_hFXjXr94AaABAg,top_level,,@jfjloncsuthcnk,jai shree ram 🚩🚩🚩,0,1694131200
UgzGfuqCtbBl7iFZKhN4AaABAg,top_level,,@kashmirian9115,Aj tum log isko acha bol rhe ho kal ko ager koi mandir illegal bol k tor diua to tum log iski maa bhen ko nechor do gy😂😂😂😂😂😂😂,0,1694131200
UgyJf5e56kUx_l9bixl4AaABAg,top_level,,@rksm3788,Very good dhami ji......yogi model,0,1694131200
Ugx9Z6lidXkAmUGz9c94AaABAg,top_level,,@dkrajvlogin,Very good sir uk me bhot hai ye sab me bhi roorkee me raha hu dekha hu me,0,1694131200
Ugw23vDFjTr-UJa3qn54AaABAg,top_level,,@mr.katil.999,Salon marke bhi chain Nahin Milega Tumhen kar lo Jitna Paap karna hai.😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,0,1694131200
UgyyrFGaB40kIzitWB14AaABAg,top_level,,@GovindChaudhary-c1c,Jai ❤shree❤ Ram ❤❤❤,0,1694131200
UgxKsTJkyE72Q6MbP654AaABAg,top_level,,@habeebfarooqui8693,Sbse jada awedh rup se hr jgh churahhon pr mndir bhi bne huye h ap unko nhi todenge bs yhi to doglapn h agr  atikrman htana chahte h to dono trf kriye,0,1694131200
UgzJyf3gHL2T_LND83d4AaABAg,top_level,,@GulfarajStudyZone,Up main bhi street par mandir hai unhe bhi htao,0,1694131200
UgxUUZWEtmUVpZIARKB4AaABAg,top_level,,@mrking8113,"Kutto ka din Aaty Hain Sunna Hai Abhi Dekh Bhi Rahe hain 
Lions 🦁 zamana aayega Sab dekh Rahe hain Sab yaad Rakha jayeha 🇮🇳",0,1694131200
UgyP923oSDGhnEPBDA94AaABAg,top_level,,@BhartiyeBhartiye,फरीदाबाद में बीजेपी ने 237 मन्दिर भी तोड़े गए,0,1694131200
UgwhbcRZzcmTA4KPggB4AaABAg,top_level,,@GyanGanga-sz9mw,Jiyo mere sher,0,1694131200
Ugxawejm0V3rR5Jn0iF4AaABAg,top_level,,@lovedogra,Jammu me bhi bhot bhot bhit jada hai dadake raste tak bigad diye logo sale pir babe kabrr pujte hai,0,1694131200
UgzQB0xkzQZoX-PfGYV4AaABAg,top_level,,@RahulSingh-sp2py,Bahut sahee kadam sarkaar ka😊,0,1694131200
UgzjoUUUQRd_VzFzkB94AaABAg,top_level,,@mohdistekharkhan4176,Majar jo 100 saal se purane hue uska kya hoga iska bhi survey hona chahiye phle,0,1694131200
UgyIZx7k3D7VsBHZEIB4AaABAg,top_level,,@DreamdayweddingrewaMP,Aise hi 4 6 cm ho jayenge to India jaldi hi akhand chutiyon dwara sanchalit hoga....,0,1694131200
UgwX2KlGZuA6oqjGUK14AaABAg,top_level,,@sultangani4728,"ALLAH is best Avenger & watching you, there is no sound in the upper stick,in your language karma,Ur super but not superior,u will pay for this in near future AAMIN...",0,1694131200
UgzXOgM-4P5wt3UtHqt4AaABAg,top_level,,@alamshaikh4256,"Sirf atikraman dargah hee nazar aati hai mandir nahi, yeh dogli sarkar hai nafrat se bhari ek din mit jaoge Salo.",0,1694131200
